personLabel,occupationLabel,birthdate,deathdate,nationalityLabel,awardLabel
Inaya Ezzeddine,physician,1961-01-01T00:00:00Z,,Lebanon,
Lene Vestergaard Hau,physicist,1959-11-13T00:00:00Z,,Denmark,MacArthur Fellows Program
Olga Tustanowska,mathematician,1917-09-20T00:00:00Z,2005-10-16T00:00:00Z,Poland,Odznaka tytułu honorowego „Zasłużony Nauczyciel PRL”
Lina Susanti Juswara,botanist,1971-01-01T00:00:00Z,,,
Assumpta Farran i Poca,physicist,1968-01-01T00:00:00Z,,Spain,
Anna Honzáková,physician,1875-11-16T00:00:00Z,1940-10-13T00:00:00Z,Czechoslovakia,
Flora Wambaugh Patterson,botanist,1847-09-15T00:00:00Z,1928-01-01T00:00:00Z,United States of America,AAAS Fellow
Elena Cebrián Calvo,engineer,1970-01-01T00:00:00Z,,Spain,
Merel van Vroonhoven,physicist,1968-01-01T00:00:00Z,,Kingdom of the Netherlands,Q47008194
Małgorzata Sterna,computer scientist,2000-01-01T00:00:00Z,,,
Martha Kyrle,physician,1917-04-17T00:00:00Z,2017-07-15T00:00:00Z,Austria,Bruno Kreisky Award for Services to Human Rights
Ingrid Daubechies,mathematician,1954-08-17T00:00:00Z,,United States of America,honorary doctor of the Norwegian University of Science and Technology
Erika Böhm-Vitense,astronomer,1923-06-03T00:00:00Z,2017-01-21T00:00:00Z,Germany,Annie Jump Cannon Award in Astronomy
Jocelyn Bell Burnell,physicist,1943-07-15T00:00:00Z,,United Kingdom,Gold medal of the Spanish National Research Council
Isabelle Stengers,chemist,1949-01-01T00:00:00Z,,Belgium,
Susanty Manuhutu,engineer,1974-01-07T00:00:00Z,,Indonesia,
Elsa Leonor Cabral,botanist,1951-01-01T00:00:00Z,,,
Florence Nightingale David,mathematician,1909-08-23T00:00:00Z,1993-07-23T00:00:00Z,United Kingdom of Great Britain and Ireland,Fellow of the American Statistical Association
Maryya Chayka,botanist,1929-12-31T00:00:00Z,1997-09-30T00:00:00Z,Belarus,
Stella Atkins,computer scientist,1946-01-01T00:00:00Z,,United States of America,
Helena Nieć,botanist,1894-01-01T00:00:00Z,1979-01-01T00:00:00Z,,
Katya Scheinberg,mathematician,,,,prix Farkas
Maria Spasova,chemist,1979-04-11T00:00:00Z,,Bulgaria,
Mary Proctor,astronomer,1862-01-01T00:00:00Z,1957-09-11T00:00:00Z,United States of America,
Iris Runge,physicist,1888-06-01T00:00:00Z,1966-01-27T00:00:00Z,Germany,
Carlota Pereira de Queirós,physician,1892-02-13T00:00:00Z,1982-04-14T00:00:00Z,Brazil,
Kristi Anseth,engineer,1968-01-01T00:00:00Z,,United States of America,Colorado Women's Hall of Fame
Olga Taussky-Todd,mathematician,1906-08-30T00:00:00Z,1995-10-07T00:00:00Z,Austria,Noether Lecture
Rachel Lloyd,chemist,1839-01-26T00:00:00Z,1900-03-07T00:00:00Z,United States of America,
Élisabeth Charlaix,physicist,1958-10-23T00:00:00Z,,France,CNRS silver medal
Willie Hobbs Moore,engineer,1934-05-01T00:00:00Z,1994-03-14T00:00:00Z,,
Deborah M. Gordon,biologist,1955-12-30T00:00:00Z,,United States of America,John Simon Guggenheim Memorial Foundation Fellowship
Ekaterina Feoktistova,chemist,1915-03-18T00:00:00Z,1987-01-05T00:00:00Z,,Stalin Prize
Barbara Boucher Owens,computer scientist,,,,ACM Distinguished Member
Marjorie D. Shapiro,physicist,,,,
Erika Pohl-Ströher,biologist,1919-11-18T00:00:00Z,2016-12-18T00:00:00Z,Germany,
Mira Tokanović,engineer,1948-07-30T00:00:00Z,,,
Virginia McShane Warfield,mathematician,1942-09-30T00:00:00Z,,United States of America,Louise Hay Award
Marie-Antoinette Tonnelat,physicist,1912-03-05T00:00:00Z,1980-12-03T00:00:00Z,France,Cours Peccot
Huda Zoghbi,physician,1954-06-20T00:00:00Z,,United States of America,W. Alden Spencer Award
Nancy Marcus,biologist,1950-05-17T00:00:00Z,2018-02-12T00:00:00Z,United States of America,AAAS Fellow
Klara Nahrstedt,computer scientist,2000-01-01T00:00:00Z,,United States of America,ACM Fellow
Astrid an Huef,mathematician,2000-01-01T00:00:00Z,,New Zealand,Fellow of the Royal Society Te Apārangi
Gertrude Simmons Burlingham,botanist,1872-04-21T00:00:00Z,1952-01-11T00:00:00Z,United States of America,
Olga Georgijewna Rjaschskaja,physicist,1941-05-12T00:00:00Z,,Russia,"Medal ""In Commemoration of the 850th Anniversary of Moscow"""
Jacqueline Dewar,mathematician,,,,Louise Hay Award
Fatima El-Zahra Mahmoud Sa'ad,botanist,1925-01-02T00:00:00Z,1993-02-23T00:00:00Z,Egypt,
Brigitte Krach,botanist,,,,
Danielle Feinberg,computer scientist,,,United States of America,
Zdenka Němečková Crkvenjaš,physician,1976-09-14T00:00:00Z,,Czech Republic,
Violeta Dilienė,physician,1953-07-31T00:00:00Z,,,
Margaret Ross,computer scientist,,,,Fellow of the British Computer Society
María José Sierra Moros,physician,1967-01-01T00:00:00Z,,Spain,
Marianne Synnes,biologist,1970-06-05T00:00:00Z,,Norway,
Conrad L. Schoch,biologist,,,,
Larissa de Bortolli Chiamolera,biologist,,,,
Danuta Nowicka,engineer,1951-07-20T00:00:00Z,,Poland,
Zofia Pietruska,physician,1929-10-22T00:00:00Z,2012-03-27T00:00:00Z,Poland,
Graciela Salicrup,mathematician,1935-04-07T00:00:00Z,1982-06-29T00:00:00Z,Mexico,
Krystyna Bierut-Maminajszwili,engineer,1923-02-12T00:00:00Z,2003-12-21T00:00:00Z,Polish People's Republic,Cross of Valour
Elizabeth Chesser,physician,1877-01-01T00:00:00Z,1940-01-01T00:00:00Z,,
Milica Valentinčič–Petrović,physician,1900-10-07T00:00:00Z,1965-02-16T00:00:00Z,Austria-Hungary,
Wendy Freedman,physicist,1957-07-17T00:00:00Z,,Canada,Dannie Heineman Prize for Astrophysics
Madge Adam,astronomer,1912-03-06T00:00:00Z,2001-08-25T00:00:00Z,United Kingdom of Great Britain and Ireland,
Elisabeth Ivanovna Steinberg,botanist,1884-04-24T00:00:00Z,1963-02-03T00:00:00Z,Russian Empire,"Medal ""For the Victory over Germany in the Great Patriotic War 1941–1945"""
Tetiana Andriienko,botanist,1938-12-27T00:00:00Z,2016-12-27T00:00:00Z,Soviet Union,State Prize of Ukraine in Science and Technology
Pat Patfoort,biologist,1949-01-01T00:00:00Z,,Belgium,
Jarmila Klímová,physician,1968-01-01T00:00:00Z,,,
Jana Hajšlová,chemist,1952-01-01T00:00:00Z,,,
Marion Delf-Smith,botanist,1883-01-31T00:00:00Z,1980-02-23T00:00:00Z,United Kingdom,Fellow of the Linnean Society of London
Katherine Blundell,physicist,1970-01-01T00:00:00Z,,,George Darwin Lectureship
Michelle Simmons,computer scientist,1967-07-14T00:00:00Z,,Australia,Fellow of the Royal Society of New South Wales
Florence G. Beckwith,botanist,1843-01-01T00:00:00Z,1929-08-11T00:00:00Z,United States of America,
Lucille Farrier Stickel,chemist,1915-01-11T00:00:00Z,2007-02-22T00:00:00Z,United States of America,Michigan Women's Hall of Fame
Margo Seltzer,computer scientist,2000-01-01T00:00:00Z,,United States of America,ACM Fellow
Whang Youn Dai,physician,1938-12-12T00:00:00Z,,South Korea,
Nahid Shahmehri,computer scientist,,,United States of America,
Jacqueline Barton,chemist,1952-05-07T00:00:00Z,,United States of America,American Institute of Chemists Gold Medal
Éanna ni Lamhna,biologist,1950-01-01T00:00:00Z,,Ireland,
Helen Thom Edwards,engineer,1936-05-27T00:00:00Z,2016-06-21T00:00:00Z,United States of America,National Medal of Technology and Innovation
Florence R. Sabin,physician,1871-11-09T00:00:00Z,1953-10-03T00:00:00Z,United States of America,National Women's Hall of Fame
Milica Valentinčič–Petrović,physician,1900-10-07T00:00:00Z,1965-02-16T00:00:00Z,Kingdom of Yugoslavia,
Q47453270,chemist,1947-08-07T00:00:00Z,,Soviet Union,
Stanisława Dembowska,biologist,1891-06-06T00:00:00Z,1962-01-16T00:00:00Z,Poland,
Inger Andersson,chemist,1950-02-25T00:00:00Z,,,
Mariya Rozanova,botanist,1885-08-29T00:00:00Z,1957-10-27T00:00:00Z,Russian Empire,
Zou Yixin,astronomer,1911-01-01T00:00:00Z,1997-01-01T00:00:00Z,,
Andrea Armani,physicist,,,,Fellow of the Optical Society
Cynthia Dwork,computer scientist,1958-06-27T00:00:00Z,,United States of America,Dijkstra Prize
Elizabeth Belding,computer scientist,,,,NCWIT Harrold and Notkin Research and Graduate Mentoring Award
Enikő Kubinyi,biologist,1976-08-01T00:00:00Z,,Hungary,European Research Council Starting Grant
Dana Philpott,physician,,,Canada,
Margaret Newton,biologist,1887-04-20T00:00:00Z,1971-04-06T00:00:00Z,Canada,Flavelle Medal
Valerie Gibson,physicist,,,,
Killi Krupa Rani,physician,1965-11-19T00:00:00Z,,India,
Jocelyn Bell Burnell,physicist,1943-07-15T00:00:00Z,,United Kingdom,Dame Commander of the Order of the British Empire
Linda Spahiu,physician,,,,
Agnieszka Markowska,chemist,2000-01-01T00:00:00Z,,Poland,
Rebecca Bace,computer scientist,1955-08-07T00:00:00Z,2017-03-14T00:00:00Z,United States of America,
Ming C. Lin,engineer,2000-01-01T00:00:00Z,,United States of America,IEEE Fellow
Danuta Gierulanka,mathematician,1909-03-04T00:00:00Z,1995-04-29T00:00:00Z,Poland,
Cynthia Dwork,computer scientist,1958-06-27T00:00:00Z,,United States of America,Josiah Willard Gibbs Lectureship
Sylvia Richardson,mathematician,1950-01-01T00:00:00Z,,United Kingdom,Commander of the Order of the British Empire
Rhoda Erdmann,biologist,1870-12-05T00:00:00Z,1935-08-23T00:00:00Z,Germany,
Branka Vucetic,engineer,,,,IEEE Fellow
Teri W. Odom,chemist,2000-01-01T00:00:00Z,,United States of America,National Institutes of Health Director's Pioneer Award
Annie Isabella Hamilton,physician,1866-01-01T00:00:00Z,1941-01-01T00:00:00Z,,
Yelena Bonner,physician,1923-02-15T00:00:00Z,2011-06-18T00:00:00Z,Soviet Union,"Recipient of the Order of Tomáš Garrigue Masaryk, 2nd class"
Manijeh Razeghi,engineer,1953-01-01T00:00:00Z,,,Society of Women Engineers Achievement Award
A.M. Volkova,botanist,,,,
Joyce E. Roberts,botanist,,,,
Kay Yatskievych,botanist,,,,
Anna Vasa of Sweden,botanist,1568-05-27T00:00:00Z,1625-02-26T00:00:00Z,Sweden,
Mary Hannah Fulton,physician,1854-05-31T00:00:00Z,1927-01-07T00:00:00Z,United States of America,
Wendy Hall,mathematician,1952-10-25T00:00:00Z,,United Kingdom,Fellow of the Royal Society
Kathleen Antonelli,computer scientist,1921-02-12T00:00:00Z,2006-04-20T00:00:00Z,Ireland,Women in Technology Hall of Fame
Rentala Madhubala,biologist,,,,
Noor Shaker,computer scientist,1950-01-01T00:00:00Z,,,BBC 100 Women
Ana Aslan,physician,1897-01-01T00:00:00Z,1988-05-20T00:00:00Z,Romania,Commander of the Order of Merit of the Italian Republic
Aline Ehrlich,biologist,1928-12-26T00:00:00Z,1991-02-05T00:00:00Z,,
Ene Ergma,physicist,1944-02-29T00:00:00Z,,Estonia,Royal Order of the Polar Star
Louise Allcock,biologist,,,,
Valeriya Gnarovskaya,physician,1923-10-18T00:00:00Z,1943-09-23T00:00:00Z,Soviet Union,Hero of the Soviet Union
Maria Goeppert Mayer,physicist,1906-06-28T00:00:00Z,1972-02-20T00:00:00Z,Germany,National Women's Hall of Fame
Grace Langford,physicist,1871-06-27T00:00:00Z,,,
Lyudmila Postoyalko,physician,1941-08-17T00:00:00Z,2007-03-06T00:00:00Z,Soviet Union,Order of Honor
Christine Griffin,engineer,1950-01-01T00:00:00Z,,United States of America,
Florentina Mosora,biologist,1940-01-07T00:00:00Z,1996-02-01T00:00:00Z,Romania,
T.A. Sarasvati Amma,mathematician,1918-12-26T00:00:00Z,2000-08-15T00:00:00Z,British India,
Tatyana Batygina,botanist,1927-10-24T00:00:00Z,2015-09-16T00:00:00Z,Russia,Russian government award for science and technology
Serafima Chyornaya,chemist,1914-08-12T00:00:00Z,1999-12-16T00:00:00Z,Russia,Merited Engineering Scientist of the RSFSR
Roksana Babajan,engineer,1946-05-30T00:00:00Z,,Soviet Union,Merited Artist of the RSFSR
Fawzia Aldiria,physician,1953-06-25T00:00:00Z,,Kuwait,
Margaret M. Murnane,physicist,1959-01-23T00:00:00Z,,Ireland,MacArthur Fellows Program
Michèle Audin,mathematician,1954-01-03T00:00:00Z,,France,Prix Ève Delacroix
Valentina Tereshkova,engineer,1937-03-06T00:00:00Z,,Soviet Union,"Medal ""In Commemoration of the 850th Anniversary of Moscow"""
Soledad Cabezón Ruiz,physician,1973-09-01T00:00:00Z,,Spain,
Lise Meitner,physicist,1878-11-07T00:00:00Z,1968-10-27T00:00:00Z,Sweden,Fellow of the American Academy of Arts and Sciences
Brigitte Bout,engineer,1941-01-26T00:00:00Z,,France,Knight of the Legion of Honour
Hideko Nojima,chemist,1953-01-01T00:00:00Z,,Japan,
Raimunda Danguolė Sutkaitienė,physician,1959-01-01T00:00:00Z,,,
Florentina Mosora,biologist,1940-01-07T00:00:00Z,1996-02-02T00:00:00Z,Romania,
Marie Curie,physicist,1867-11-07T00:00:00Z,1934-07-04T00:00:00Z,Russian Empire,Elliott Cresson Medal
Helen Patricia Ramsay,botanist,1928-01-01T00:00:00Z,,,Member of the Order of Australia
Irma Thesleff,biologist,1948-07-24T00:00:00Z,,Finland,Anders Jahre's Awards for Medical Research
Nancy Reid,mathematician,1952-09-17T00:00:00Z,,Canada,Fellow of the Institute of Mathematical Statistics
Lis Brack-Bernsen,astronomer,1946-03-02T00:00:00Z,,,
Lis Brack-Bernsen,mathematician,1946-03-02T00:00:00Z,,,
Ingrid Daubechies,physicist,1954-08-17T00:00:00Z,,United States of America,AAAS Fellow
Wendy Hall,mathematician,1952-10-25T00:00:00Z,,United Kingdom,Commander of the Order of the British Empire
Milena Duchková,physician,1952-04-25T00:00:00Z,,Czechoslovakia,International Swimming Hall of Fame
Marie-Paule Pileni,chemist,1945-07-01T00:00:00Z,,France,Descartes-Huygens Prize
Susanne Suter,physician,1943-01-23T00:00:00Z,,Switzerland,
Shafrira Goldwasser,engineer,1958-11-14T00:00:00Z,,Israel,Grace Murray Hopper Award
Vida Ronkaitytė,physician,1948-10-17T00:00:00Z,,,
Elizabeth Blackburn,biologist,1948-11-26T00:00:00Z,,Australia,Benjamin Franklin Medal
Patricia Bouyer-Decitre,computer scientist,1976-10-18T00:00:00Z,,France,Presburger Award
Ethel Moustacchi,biologist,1933-01-01T00:00:00Z,2016-12-13T00:00:00Z,France,Officer of the National Order of Merit
Mayumi Tosa,physician,1959-01-01T00:00:00Z,,,
Elizabeth Blackburn,biologist,1948-11-26T00:00:00Z,,Australia,California Hall of Fame
Pascale Fung,computer scientist,1966-01-01T00:00:00Z,,,IEEE Fellow
Joanne M. Maguire,engineer,1954-01-01T00:00:00Z,,United States of America,Fellow of the American Institute of Aeronautics and Astronautics
Krystyna Katulska,mathematician,1950-01-12T00:00:00Z,2017-01-09T00:00:00Z,Poland,
Elsie Dalyell,physician,1881-12-13T00:00:00Z,1948-11-01T00:00:00Z,Australia,
Gunilla Ahlsén,physician,1953-02-10T00:00:00Z,,Sweden,
Zsuzsanna Fábry,biologist,1956-01-01T00:00:00Z,,Hungary,
Ruzena Bajcsy,computer scientist,1933-01-01T00:00:00Z,,United States of America,ACM - AAAI Allen Newell Award
Frances Oldham Kelsey,physician,1914-07-24T00:00:00Z,2015-08-07T00:00:00Z,Canada,President's Award for Distinguished Federal Civilian Service
Tatyana Yanovskaya,physicist,1932-01-01T00:00:00Z,2019-12-22T00:00:00Z,Soviet Union,Fellow of the American Geophysical Union
Paula Hertwig,biologist,1889-10-11T00:00:00Z,1983-03-31T00:00:00Z,Nazi Germany,Patriotic Order of Merit in bronze
Teresa Emil Di Fulvio,botanist,1930-12-01T00:00:00Z,,Argentina,
Maria Kobel,chemist,1897-08-05T00:00:00Z,1996-08-14T00:00:00Z,Germany,
Maria José Salgado Lages,physician,1907-06-17T00:00:00Z,2003-11-30T00:00:00Z,Brazil,
Tatyana Ivanovna Serebryakova,botanist,1922-06-22T00:00:00Z,1986-11-30T00:00:00Z,,Excellence of Public Education of the Russian Federation
Olga Dzhigurda,physician,1901-12-07T00:00:00Z,1986-12-10T00:00:00Z,Soviet Union,Order of the Red Banner of Labour
Maryna Poroshenko,physician,1962-02-01T00:00:00Z,,Ukraine,
Karin Bergqvist,biologist,1959-01-01T00:00:00Z,,Sweden,Q10443103
Kirsten Jane Cowley,botanist,1961-01-01T00:00:00Z,,,
Lucia Trandafir,physician,1914-08-15T00:00:00Z,1980-07-03T00:00:00Z,,
Jitka Moravcová,chemist,1950-11-26T00:00:00Z,2018-05-14T00:00:00Z,Czech Republic,
Maria Christina Bruhn,engineer,1732-01-01T00:00:00Z,1808-10-21T00:00:00Z,Sweden,
Jinjin Harder,programmer,1984-08-30T00:00:00Z,,Germany,
Maria Fjodorovna Zibold,physician,1849-02-12T00:00:00Z,1939-04-05T00:00:00Z,,
Elżbieta Frąckowiak,chemist,1950-11-17T00:00:00Z,,Poland,Prize of the Foundation for Polish Science
Mary Cartwright,mathematician,1900-12-17T00:00:00Z,1998-04-03T00:00:00Z,United Kingdom,Dame Commander of the Order of the British Empire
Cathleen Synge Morawetz,mathematician,1923-05-05T00:00:00Z,2017-08-08T00:00:00Z,United States of America,Fellow of the American Mathematical Society
Rosalind Picard,computer scientist,1962-05-17T00:00:00Z,,United States of America,IEEE Fellow
Signe Normand,biologist,1979-06-26T00:00:00Z,,Denmark,
Elizabeth Blackburn,biologist,1948-11-26T00:00:00Z,,Australia,Pearl Meister Greengard Prize
Trinidad Arroyo,physician,1872-05-26T00:00:00Z,1959-09-28T00:00:00Z,Spain,
Valentina Lazarova,engineer,1950-01-01T00:00:00Z,,France,CNRS innovation medal
Josefina Castellví,biologist,1935-07-01T00:00:00Z,,Spain,Catalan of the year Award
Lorena Endara,botanist,1979-01-01T00:00:00Z,,Ecuador,
Bi Bi Monajemeh Nishaburi,mathematician,1203-01-01T00:00:00Z,1280-01-01T00:00:00Z,Iran,
Anna Luise Kirkengen,physician,1946-12-08T00:00:00Z,,Norway,
Haesun Park,computer scientist,,,,Fellow of the Society for Industrial and Applied Mathematics
Anne Lauvergeon,physicist,1959-08-02T00:00:00Z,,France,Fellow of the Royal Academy of Engineering
Kristina M. Johnson,engineer,1958-01-01T00:00:00Z,,United States of America,Women in Technology International
Katarzyna Chałasińska-Macukow,physicist,1946-03-20T00:00:00Z,,Poland,honorary doctor of the Autonomous University of Barcelona
Melba Phillips,physicist,1907-02-01T00:00:00Z,2004-11-08T00:00:00Z,United States of America,Oersted Medal
Mariette Rousseau,botanist,1850-03-20T00:00:00Z,1926-01-14T00:00:00Z,Belgium,Knight of the Order of Leopold
Frances Oldham Kelsey,physician,1914-07-24T00:00:00Z,2015-08-07T00:00:00Z,Canada,Member of the Order of Canada
Carol Ruckdeschel,biologist,1941-12-03T00:00:00Z,,,
Winifred Sawtell Cameron,astronomer,1918-12-03T00:00:00Z,2016-03-29T00:00:00Z,United States of America,
Elizabeth Blackburn,biologist,1948-11-26T00:00:00Z,,Australia,Weizmann Women & Science Award
Ursula Martin,engineer,1953-08-03T00:00:00Z,,United Kingdom,Commander of the Order of the British Empire
Ursula Martin,engineer,1953-08-03T00:00:00Z,,United Kingdom,Fellow of the Royal Society of Edinburgh
Astrid an Huef,mathematician,2000-01-01T00:00:00Z,,Germany,Fellow of the Royal Society Te Apārangi
Maria Luisa Righini-Bonelli,mathematician,1917-11-11T00:00:00Z,1981-12-18T00:00:00Z,Kingdom of Italy,George Sarton Medal
Helena Pycior,mathematician,1947-01-01T00:00:00Z,,,
Cathleen Synge Morawetz,mathematician,1923-05-05T00:00:00Z,2017-08-08T00:00:00Z,United States of America,Steele Prize for Lifetime Achievement
Rosana Conrado Lopes,botanist,1966-01-01T00:00:00Z,,Brazil,
Caroline Kovac,chemist,,,United States of America,Women in Technology Hall of Fame
Isabelle Gallagher,mathematician,1973-10-27T00:00:00Z,,France,National Order of Merit
Kate Bellingham,engineer,1963-01-01T00:00:00Z,,United Kingdom,
Maria Cunitz,astronomer,1610-01-01T00:00:00Z,1664-08-22T00:00:00Z,Holy Roman Empire,
Q95578397,biologist,1915-04-19T00:00:00Z,2008-05-02T00:00:00Z,,"Medal ""For Distinguished Labour"""
Polly Matzinger,biologist,1947-07-21T00:00:00Z,,,
Annie Jump Cannon,physicist,1863-12-11T00:00:00Z,1941-04-13T00:00:00Z,United States of America,Honorary doctor of the University of Groningen
Sarah Frances Whiting,physicist,1847-08-23T00:00:00Z,1927-01-01T00:00:00Z,United States of America,
Joanne Pransky,engineer,,,United States of America,
Rita Kukaine,physician,1922-11-09T00:00:00Z,2011-01-29T00:00:00Z,Soviet Union,Order of the October Revolution
Geneviève Comte-Bellot,physicist,1929-07-29T00:00:00Z,,France,fellow
Noël Olivier,physician,1893-01-01T00:00:00Z,1969-04-11T00:00:00Z,,
Maria Overbeck-Larisch,mathematician,1947-01-01T00:00:00Z,,Germany,
Frida Becher von Rüdenhof,physician,1874-09-30T00:00:00Z,1951-11-05T00:00:00Z,Austria-Hungary,
Mildred Cohn,engineer,1913-07-12T00:00:00Z,2009-10-12T00:00:00Z,United States of America,Fellow of the American Academy of Arts and Sciences
Marie Bashir,engineer,1930-12-01T00:00:00Z,,Australia,Commander of the Royal Victorian Order
Mary Ellen Weber,chemist,1962-08-24T00:00:00Z,,United States of America,
Nancy Pyck,botanist,1973-01-01T00:00:00Z,,,
Hannah Jane Atkins,botanist,1971-01-01T00:00:00Z,,England,
Dorothy L. Nash,botanist,,,,
Roe Jung-hye,biologist,1957-01-01T00:00:00Z,,South Korea,
Grete Olsen,physician,1912-02-18T00:00:00Z,2010-04-06T00:00:00Z,Denmark,
Jocelyne Troccaz,computer scientist,1959-06-11T00:00:00Z,,France,CNRS silver medal
Renata Rucińska-Sobkowiak,biologist,1950-01-01T00:00:00Z,,Poland,
Linda Shapiro,computer scientist,,,United States of America,IEEE Fellow
Henriette Avram,computer scientist,1919-10-07T00:00:00Z,2006-04-22T00:00:00Z,United States of America,Melvil Dewey Medal
Motrya Vasylivna Bratiychuk,astronomer,1927-01-08T00:00:00Z,2001-04-04T00:00:00Z,,
Jennifer Switkes,mathematician,,,,
Geneviève Berger,physician,1955-01-26T00:00:00Z,,France,Officer of the National Order of Merit
Georgia Benkart,mathematician,1949-01-01T00:00:00Z,,United States of America,Fellow of the American Mathematical Society
Cynthia Burrows,chemist,1953-09-23T00:00:00Z,,,AAAS Fellow
Ellen Wright Blackwell,botanist,1864-10-07T00:00:00Z,1952-02-24T00:00:00Z,United Kingdom of Great Britain and Ireland,
Florence R. Sabin,physician,1871-11-09T00:00:00Z,1953-10-03T00:00:00Z,United States of America,Colorado Women's Hall of Fame
Q89752800,botanist,1912-11-01T00:00:00Z,2005-01-03T00:00:00Z,Latvia,
Jacqueline Barton,chemist,1952-05-07T00:00:00Z,,United States of America,Weizmann Women & Science Award
Betty Moore,chemist,1934-11-21T00:00:00Z,,United Kingdom,
Hildegard Stücklen,physicist,1891-05-03T00:00:00Z,1963-12-15T00:00:00Z,United States of America,
Leticia Ribes de Lima,botanist,1977-01-01T00:00:00Z,,Brazil,
Daniela Buza,chemist,1930-08-25T00:00:00Z,2008-10-30T00:00:00Z,Poland,
Lauren Kiyomi Williams,mathematician,,,United States of America,AWM–Microsoft Research Prize in Algebra and Number Theory
Julie Macpherson,chemist,,,,
Matryona Ivanovna Rozhanovskaya,botanist,1910-01-01T00:00:00Z,1980-03-28T00:00:00Z,Soviet Union,"Medal ""For Valiant Labour in the Great Patriotic War 1941–1945"""
Annick Le Thomas,botanist,1936-01-01T00:00:00Z,,France,
Federica Sallusto,biologist,1961-11-27T00:00:00Z,,Italy,
Betzy Berntsen,physician,1873-11-05T00:00:00Z,t1966077429,Norway,
Sarita Adve,computer scientist,,,,ACM Fellow
Vivienne Thom,chemist,1960-01-01T00:00:00Z,,Australia,Member of the Order of Australia
T.A. Sarasvati Amma,mathematician,1918-12-26T00:00:00Z,2000-08-15T00:00:00Z,Dominion of India,
Claudia Felser,physicist,1962-07-28T00:00:00Z,,Germany,Tsungming Tu Award
Marija Strojnik Scholl,physicist,1950-07-13T00:00:00Z,,,Fellow of the Optical Society
Masako Bando,physicist,1937-12-01T00:00:00Z,,Japan,
Olesia Hulchiy,physician,1958-07-11T00:00:00Z,,,
Huda Zoghbi,physician,1954-06-20T00:00:00Z,,United States of America,The Brain Prize
Marie Curie,physicist,1867-11-07T00:00:00Z,1934-07-04T00:00:00Z,Poland,prix Gegner
Katja Hose,computer scientist,2000-01-01T00:00:00Z,,,
Alexandra Navrotsky,chemist,1943-06-20T00:00:00Z,,United States of America,Fellow of the American Geophysical Union
Gladys Patricia Abdel Rahim Garzón,physicist,,,Colombia,
Ana Isabel Camacho,biologist,,,,
Kathleen Anne Kron,biologist,1956-01-01T00:00:00Z,,United States of America,
Ethel Irene McLennan,botanist,1891-03-15T00:00:00Z,1983-06-12T00:00:00Z,Australia,David Syme Research Prize
Aija Žileviča,physician,1940-01-01T00:00:00Z,,Latvia,
Ė. K. Kraulini︠a︡,physicist,1920-08-04T00:00:00Z,2002-01-07T00:00:00Z,Latvia,
Marta Kolanowska,biologist,2000-01-01T00:00:00Z,,Poland,
Astrid Fagraeus,biologist,1913-05-30T00:00:00Z,1997-02-24T00:00:00Z,Sweden,
Maryanthe Malliaris,mathematician,,,United States of America,Hausdorff medal
Vera Blagojević,physician,1920-05-16T00:00:00Z,1942-03-18T00:00:00Z,"Kingdom of Serbs, Croats and Slovenes",People's Hero of Yugoslavia
Eva Kolihová,physician,1928-05-04T00:00:00Z,2015-12-25T00:00:00Z,Czechoslovakia,
Erna Schneider Hoover,mathematician,1926-06-19T00:00:00Z,,United States of America,National Inventors Hall of Fame
Nuria Oliver,computer scientist,1970-01-01T00:00:00Z,,Spain,CHI Academy
Nadiežda Oleinik,physician,1952-11-23T00:00:00Z,,,
Anne-Mai Parring,mathematician,1940-07-21T00:00:00Z,,,
V. Baronin̦a,biologist,1955-03-04T00:00:00Z,,Latvia,
Maria Maier-Stolte,botanist,1946-01-01T00:00:00Z,,Germany,
Shimna Azeez,physician,,,,
Marie Krogh,physician,1874-12-25T00:00:00Z,1943-03-26T00:00:00Z,Denmark,
Tatyana Batygina,botanist,1927-10-24T00:00:00Z,2015-09-16T00:00:00Z,Russia,"Medal ""Veteran of Labour"""
Mayya Zhyghaeva,biologist,1927-01-21T00:00:00Z,2017-02-20T00:00:00Z,Kazakhstan,"Medal ""10 years of Astana"""
Käte Frankenthal,physician,1889-01-30T00:00:00Z,1976-04-21T00:00:00Z,United States of America,
Elizabeth Blackwell,physician,1821-02-03T00:00:00Z,1910-05-31T00:00:00Z,United Kingdom of Great Britain and Ireland,National Women's Hall of Fame
Tamar Schlick,mathematician,,,United States of America,Fellow of the Society for Industrial and Applied Mathematics
Annie Sugier,physicist,1942-02-21T00:00:00Z,,France,Officer of the Legion of Honour
Tatsyana Holubeva,engineer,1947-06-27T00:00:00Z,,Belarus,Certificate of Honor of the National Assembly of the Republic of Belarus
Ingeborg Hochmair,engineer,1953-01-17T00:00:00Z,,Australia,Sign of honour of Tirol
Ingeborg Hochmair,engineer,1953-01-17T00:00:00Z,,Austria,Sign of honour of Tirol
Eva Kolihová,physician,1928-05-04T00:00:00Z,2015-12-26T00:00:00Z,Czechoslovakia,
Josephine Mitchell,mathematician,1912-06-30T00:00:00Z,2000-12-28T00:00:00Z,,
Judith Gamora Cohen,astronomer,1946-01-01T00:00:00Z,,United States of America,
Marie-Paule Bertrand,botanist,1943-01-01T00:00:00Z,,,
